144
4,27
41,85
60,7
66,52
92,97
44,73
15,9
29,73
59,89
2,28
19,33
9,73
30,68
8,4
12,52
86,4
83,89
64,63
3,26
15,81
87,75
38,38
67,77
9,82
52,71
78,58
31,11
38,91
74,65
98,90
94,72
65,86
10,21
50,31
81,99
72,65
82,88
5,8
50,67
94,40
62,86
82,56
4,98
81,66
22,66
14,31
12,40
49,14
42,60
41,37
8,82
12,1
35,100
30,77
44,1
23,97
60,91
55,98
88,18
87,1
89,72
70,77
84,92
78,11
6,8
63,49
84,28
54,25
11,77
41,13
24,4
67,37
80,77
12,100
78,80
79,32
30,6
46,25
93,38
33,58
16,28
8,98
96,91
20,14
59,35
62,79
28,10
64,81
49,87
40,53
13,36
86,6
23,3
94,76
41,51
49,93
12,16
