144
62,67
3,47
32,89
74,18
7,94
69,64
2,54
64,36
77,1
7,48
25,74
43,7
71,21
50,65
75,4
89,33
25,33
32,42
50,38
40,46
13,46
39,65
56,86
1,92
76,42
2,1
24,74
47,95
74,82
14,60
61,39
100,26
76,67
23,61
33,89
72,23
87,4
73,83
31,3
70,45
61,36
12,48
99,27
92,78
91,94
51,94
44,42
5,18
26,37
38,42
24,97
59,5
32,51
30,8
76,2
25,51
74,69
97,64
70,79
21,30
65,69
14,38
72,13
51,73
11,81
7,24
28,64
87,77
96,30
97,18
32,10
38,40
41,16
21,29
74,24
84,39
66,34
67,45
82,14
29,6
96,76
97,63
67,53
95,29
58,52
33,93
